x y
909.678 1128.84
909.878 1128.84
910.078 1128.84
910.278 1128.84
910.478 1128.84
910.678 1128.85
910.878 1128.85
911.078 1128.85
911.278 1128.85
911.478 1128.85
911.678 1128.85
911.878 1128.86
912.078 1128.86
912.278 1128.86
912.478 1128.86
912.678 1128.86
912.878 1128.86
913.078 1128.87
913.278 1128.87
913.478 1128.87
913.678 1128.87
913.878 1128.87
914.078 1128.87
914.278 1128.88
914.478 1128.88
914.678 1128.88
914.878 1128.88
915.078 1128.88
915.278 1128.88
915.478 1128.89
915.678 1128.89
915.878 1128.89
916.078 1128.89
916.278 1128.89
916.478 1128.9
916.678 1128.9
916.878 1128.9
917.078 1128.9
917.278 1128.9
917.478 1128.9
917.678 1128.91
917.878 1128.91
918.078 1128.91
918.278 1128.91
918.478 1128.91
918.678 1128.91
918.878 1128.92
919.078 1128.92
919.278 1128.92
919.478 1128.92
919.678 1128.92
919.478 1128.92
919.678 1128.92
919.878 1128.92
920.078 1128.93
920.278 1128.93
920.478 1128.93
920.678 1128.93
920.878 1128.93
921.078 1128.93
921.278 1128.94
921.478 1128.94
921.678 1128.94
921.878 1128.94
922.078 1128.94
922.278 1128.95
922.478 1128.95
922.678 1128.95
922.878 1128.95
923.078 1128.95
923.278 1128.95
923.478 1128.96
923.678 1128.96
923.878 1128.96
924.078 1128.96
924.278 1128.96
924.478 1128.96
924.678 1128.97
924.878 1128.97
925.078 1128.97
925.278 1128.97
925.478 1128.97
925.678 1128.97
925.878 1128.98
926.078 1128.98
926.278 1128.98
926.478 1128.98
926.678 1128.98
926.878 1128.99
927.078 1128.99
927.278 1128.99
927.478 1128.99
927.678 1128.99
927.878 1128.99
928.078 1129
928.278 1129
928.478 1129
928.678 1129
928.878 1129
929.078 1129
942.294 1129.82
942.493 1129.84
942.493 1129.84
942.692 1129.86
942.891 1129.89
943.09 1129.91
943.289 1129.93
943.487 1129.95
943.686 1129.97
943.885 1130
944.084 1130.02
944.283 1130.04
944.481 1130.06
944.68 1130.08
944.879 1130.1
945.078 1130.13
945.277 1130.15
945.476 1130.17
945.674 1130.19
945.873 1130.21
946.072 1130.23
946.271 1130.26
946.47 1130.28
946.668 1130.3
946.867 1130.32
947.066 1130.34
947.265 1130.37
947.464 1130.39
947.662 1130.41
947.861 1130.43
948.06 1130.45
948.259 1130.47
948.458 1130.5
948.657 1130.52
948.855 1130.54
949.054 1130.56
949.253 1130.58
949.452 1130.6
949.651 1130.63
949.849 1130.65
950.048 1130.67
950.247 1130.69
950.446 1130.71
950.645 1130.74
950.843 1130.76
951.042 1130.78
951.241 1130.8
951.44 1130.82
951.639 1130.84
951.838 1130.87
952.036 1130.89
952.235 1130.91
952.434 1130.93
952.633 1130.95
952.633 1130.95
952.832 1130.97
953.031 1131
953.229 1131.02
953.428 1131.04
953.627 1131.06
953.826 1131.08
954.025 1131.11
954.224 1131.13
954.422 1131.15
954.621 1131.17
954.82 1131.19
955.019 1131.21
955.218 1131.24
955.416 1131.26
955.615 1131.28
955.814 1131.3
956.013 1131.32
956.212 1131.34
956.41 1131.37
956.609 1131.39
956.808 1131.41
957.007 1131.43
957.206 1131.45
957.405 1131.48
957.603 1131.5
957.802 1131.52
958.001 1131.54
958.2 1131.56
958.399 1131.58
958.597 1131.61
958.796 1131.63
958.995 1131.65
959.194 1131.67
959.393 1131.69
959.591 1131.71
959.79 1131.74
959.989 1131.76
960.188 1131.78
960.387 1131.8
960.586 1131.82
960.784 1131.85
960.983 1131.87
961.182 1131.89
961.381 1131.91
961.58 1131.93
961.778 1131.95
961.977 1131.98
962.176 1132
970.156 1133.4
970.351 1133.44
970.546 1133.49
970.741 1133.53
970.936 1133.58
971.131 1133.62
971.326 1133.67
971.521 1133.71
971.716 1133.76
971.91 1133.8
972.105 1133.84
972.3 1133.89
972.495 1133.93
972.69 1133.98
972.885 1134.02
973.08 1134.07
973.275 1134.11
973.47 1134.16
973.665 1134.2
973.86 1134.25
974.055 1134.29
974.25 1134.34
974.445 1134.38
974.639 1134.43
974.834 1134.47
975.029 1134.52
975.224 1134.56
975.419 1134.61
975.614 1134.65
975.809 1134.7
976.004 1134.74
976.199 1134.78
976.394 1134.83
976.589 1134.87
976.784 1134.92
976.979 1134.96
977.174 1135.01
977.369 1135.05
977.563 1135.1
977.758 1135.14
977.953 1135.19
978.148 1135.23
978.343 1135.28
978.538 1135.32
978.733 1135.37
978.928 1135.41
979.123 1135.46
979.318 1135.5
979.513 1135.55
979.708 1135.59
979.903 1135.63
980.098 1135.68
980.293 1135.72
980.487 1135.77
980.682 1135.81
980.877 1135.86
981.072 1135.9
981.267 1135.95
981.462 1135.99
981.657 1136.04
981.852 1136.08
982.047 1136.13
982.242 1136.17
982.437 1136.22
982.632 1136.26
982.827 1136.31
983.022 1136.35
983.216 1136.4
983.411 1136.44
983.606 1136.48
983.801 1136.53
983.996 1136.57
984.191 1136.62
984.386 1136.66
984.581 1136.71
984.776 1136.75
984.971 1136.8
985.166 1136.84
985.361 1136.89
985.556 1136.93
985.751 1136.98
985.946 1137.02
986.14 1137.07
986.335 1137.11
986.53 1137.16
986.725 1137.2
986.92 1137.25
987.115 1137.29
987.31 1137.33
987.505 1137.38
987.7 1137.42
987.895 1137.47
988.09 1137.51
988.285 1137.56
988.48 1137.6
988.675 1137.65
988.869 1137.69
989.064 1137.74
989.259 1137.78
989.454 1137.83
989.649 1137.87
989.844 1137.92
990.039 1137.96
990.234 1138.01
990.429 1138.05
990.624 1138.1
990.819 1138.14
991.014 1138.18
991.209 1138.23
991.404 1138.27
991.599 1138.32
991.794 1138.36
991.989 1138.41
992.183 1138.45
992.378 1138.5
992.573 1138.54
992.768 1138.59
992.963 1138.63
993.158 1138.68
993.353 1138.72
993.548 1138.77
993.743 1138.81
993.938 1138.86
994.133 1138.9
994.328 1138.95
994.523 1138.99
994.718 1139.04
994.912 1139.08
995.107 1139.12
995.302 1139.17
995.497 1139.21
995.692 1139.26
995.887 1139.3
996.082 1139.35
996.277 1139.39
996.472 1139.44
997.644 1139.81
997.828 1139.88
998.013 1139.96
998.197 1140.04
998.382 1140.12
998.566 1140.19
998.75 1140.27
